"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PRKCB",3.19924664254381e-104,0.422832158495007,0.661,0.582,9.31204720245228e-100
"XYLB",3.75887732149905e-104,-0.811105617885242,0.105,0.173,1.09409642196873e-99
"C1GALT1",3.81065657717554e-104,-0.452749671612481,0.294,0.387,1.10916780991848e-99
"GRIK1",4.85193390945481e-104,-0.791150456412084,0.12,0.189,1.41225240302501e-99
"ARFIP1",6.23839001243245e-104,-0.390729847307717,0.411,0.507,1.81580818091871e-99
"PPP2R2D",1.05230002552906e-103,0.441950059806433,0.408,0.321,3.06292968430744e-99
"GLS",1.25304475352845e-103,0.386448216155698,0.724,0.678,3.64723736409525e-99
"COX10",2.15813151430922e-103,-0.620061508825916,0.138,0.214,6.28167339869985e-99
"AC005828.1",2.19568426295612e-103,-1.92919817588482,0.012,0.045,6.39097818418639e-99
"EMSY",2.19667446435652e-103,0.405513067251326,0.428,0.341,6.39386036340253e-99
"HPS3",2.49129110352342e-103,-0.457371820962667,0.364,0.454,7.25140101502561e-99
"ERAP2",3.96717705570236e-103,-0.726484927314941,0.125,0.198,1.15472622560329e-98
"H2AFZ",4.67078328081764e-103,1.10603011593694,0.083,0.037,1.35952488954759e-98
"MAP3K8",5.83801957151924e-103,1.18894665365341,0.382,0.338,1.69927235668211e-98
"ARL8B",6.10429262884569e-103,0.489148434393186,0.47,0.394,1.77677645547812e-98
